# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.021,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_021.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_021.fastq.gz,1046438126
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.022,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_022.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_022.fastq.gz,1059958548
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.023,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_023.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_023.fastq.gz,1062706966
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.024,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_024.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_024.fastq.gz,1064367690
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.025,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_025.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_025.fastq.gz,1066579296
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.026,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_026.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_026.fastq.gz,1076766873
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.027,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_027.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_027.fastq.gz,1078830877
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.028,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_028.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_028.fastq.gz,1046529087
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.029,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_029.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_029.fastq.gz,1053113681
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.030,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_030.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_030.fastq.gz,1055468606
